Frequency_GHz,Phase00_deg,Phase01_deg,Phase10_deg,Phase11_deg,SelectedPhaseDifference_deg
11.896,-456.000946872824,-614.044703566781,-461.709397468383,-608.453239831255,-201.956243306044
11.904,-456.926373450505,-614.641786327715,-462.672500157681,-609.079360806545,-202.284587122789
11.912,-457.857989163582,-615.238300163106,-463.641992122801,-609.704952309604,-202.619689000476
11.92,-458.795872914383,-615.834239549627,-464.617943276544,-610.330006898906,-202.961633364756
11.928,-459.74010363537,-616.42959906399,-465.600422936159,-610.954517243364,-203.31050457138
11.936,-460.690760225598,-617.024373383373,-466.589499734635,-611.578476123114,-203.666386842226
11.944,-461.647921483003,-617.618557285807,-467.585241527465,-612.201876430248,-204.029364197196
11.952,-462.611666032354,-618.21214565056,-468.58771529477,-612.824711169516,-204.399520381794
11.96,-463.5820722487,-618.805133458478,-469.596987038696,-613.446973459001,-204.776938790222
11.968,-464.559218176149,-619.397515792317,-470.613121675992,-614.068656530747,-205.161702383832
11.976,-465.543181441811,-619.989287837041,-471.636182925668,-614.689753731362,-205.55389360477
11.984,-466.534039164735,-620.580444880108,-472.66623319169,-615.310258522579,-205.953594284627
11.992,-467.531867859685,-621.170982311721,-473.703333440629,-615.930164481787,-206.360885547964
12,-468.536743335601,-621.760895625066,-474.747543074249,-616.549465302534,-206.775847710535
12.008,-469.548740588592,-622.350180416521,-475.798919796991,-617.168154794978,-207.198560172071
12.016,-470.567933689305,-622.938832385852,-476.857519478346,-617.786226886327,-207.629101303454
